"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","1990",,,,,,,"177","0","105","0","108",,"42","0",,,,,"55","0","107","0","0","0",,,"13",",0,1217,","12.2",",0,0321,","2.52",",0,0724,","87","0,0429,",,,,,,,,,,,,,,,,,,,,,,,,,"54.87",",0",,,"131.3",",0",,,"54.2","0",,,,,,,,,,,,
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","1991",,,,,,,"141","0","84","0","98",,"34","0","30","0","161","0","63","0","109","0","0","0","-22","0,0125,","12",",0,0113,","7.5",",0,0112,","1.90",",0,0422,","89","0,0721,","31","0,0922","26","0,0930","23","0,1014","20","0,1030","16","0,1106","30","0,0509","27","0,0419","20","0,0414","20","0,0414","11","0,0331",,,,,"37.15",",0",,,"89.4",",0","42.9","0","53.6","0","32.3","0",,,,,,,,,,
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","1992",,,"66",,"66","0","158","0","82","0","122",,"38","0","42","0","190","0","75","0","84","0","0","0","-22","0,0210,+","17",",0,0210,+","10.2",",0,0205,","1.66",",0,0923,","84","0,0524,","26","0,0924","26","0,0924","24","0,1006","18","0,1031","15","0,1102","30","0,0526","27","0,0525","24","0,0428","15","0,0416","15","0,0416","8685",,"8685","0","34.76",",0",,,"106.6",",0","39.5","0","50.3","0","28.7","0",,,,,,,,,,
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","1993",,,"142",,"142","0","174","0","105","0","127",,"53","0","47","0","203","0","88","0","89","0","0","0","-29","0,0207,","38",",0,0315,","25.6",",0,0314,","1.85",",0,0314,","88","0,0708,","31","0,0912","21","0,0920","21","0,0920","20","0,0930","15","0,1011","30","0,0530","28","0,0514","22","0,0425","20","0,0424","9","0,0324","9145",,"9145","0","43.76",",0",,,"174.0",",0","38.5","0","49.5","0","27.5","0",,,,,,,,,,
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","1994",,,"144",,"144","0","163","0","96","0","126",,"42","0","50","0","191","0","85","0","75","0","0","0","-35","0,0127,+","35",",0,0118,","13.0",",0,0118,","1.36",",0,0822,+","88","0,0722,","30","0,1001","25","0,1012","23","0,1016","20","0,1112","7","0,1124","29","0,0529","25","0,0528","24","0,0504","18","0,0424","8","0,0408","10535",,"10535","0","42.23",",0",,,"132.7",",0","38.6","0","49.5","0","27.8","0",,,,,,,,,,
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","1995",,,,,,,"174","0","100","0","117",,"40","0",,,,,"75","0","98","0","2","0",,,"22",",0,0206,+","18.0",",0,0205,","2.94",",0,1022,","94","0,0715,",,,,,,,,,,,,,,,,,,,,,"8357",,"8357","0","47.88",",0",,,"145.6",",0",,,"52.6","0",,,,,,,,,,,,
"USC00437217","SHOREHAM, VT US","43.86667","-73.25","85.3","1994",,,,,,,,,,,,,"18","0",,,,,,,,,,,,,,,"12.0",",0,0118,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63.8",",0",,,,,,,,,,,,,,,,
"USC00430134","ALBANY, VT US","44.7","-72.38333","267.0","1994",,,,,,,"198","0","104","0","151",,"37","0",,,,,"78","0","101","0","4","0",,,"48",",0,0304,","21.5",",0,0304,","2.17",",0,0822,","94","0,0619,",,,,,,,,,,,,,,,,,,,,,,,,,"44.50",",0",,,"163.2",",0",,,"51.9","0",,,,,,,,,,,,
"USC00430134","ALBANY, VT US","44.7","-72.38333","267.0","1995",,,,,,,,,,,"124",,"48","0",,,,,,,,,,,,,"24",",0,1224,","19.0",",0,0205,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"153.3",",0",,,,,,,,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1990",,,"504",,"504","0","126","0","80","0","71",,"15","0","2","0","159","0","30","0","124","0","6","0","-8","0,0226,","15",",0,0205,","13.0",",0,0130,","2.78",",0,0811,","93","0,0705,","31","0,0919","27","0,1028","24","0,1109","18","0,1206","16","0,1211","24","0,0425","24","0,0425","24","0,0425","20","0,0329","15","0,0328","7612",,"7612","0","49.74",",0",,,"56.5",",0","47.4","0","57.9","0","36.9","0",,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1991",,,"552",,"552","0","116","0","70","0","68",,"11","0","8","0","139","0","37","0","141","0","14","0","-10","0,0123,","10",",0,0115,+","10.0",",0,0112,","2.22",",0,0820,","98","0,0721,","31","0,0930","28","0,1021","23","0,1105","18","0,1127","10","0,1205","28","0,0415","28","0,0415","21","0,0331","20","0,0311","15","0,0301","6454",,"6454","0","36.53",",0",,,"38.5",",0","48.3","0","59.3","0","37.2","0",,,,,,,,,,
